customer_id,first_name,last_name,address,phone,email
1,Feliciana,Cantón,"Pasaje Bolívar N28-542, Sector La Carolina, Guayaquil, Guayas","+593-982966771","feliciana.canton@gmail.com"
2,Amador,Llopis,"Av. Bolívar N37-464, Sector San Juan, Quito, Pichincha","+593-936299891","amador.llopis@gmail.com"
3,Jose Ignacio,Godoy,"Pasaje Eloy Alfaro N32-253, Sector Carcelén, Quito, Pichincha","+593-943539636","jose_ignacio.godoy@gmail.com"
4,Emilio,Calatayud,"Avenida 9 de Octubre N49-134, Sector Los Chillos, Quito, Pichincha","+593-946813400","emilio.calatayud@gmail.com"
5,Inmaculada,Bonet,"Av. Simón Bolívar N15-857, Sector Carcelén, Esmeraldas, Esmeraldas","+593-996216916","inmaculada.bonet@gmail.com"
6,Dominga,Roca,"Avenida Bolívar N16-575, Sector Centro, Loja, Loja","+593-912265877","dominga.roca@gmail.com"
7,Amílcar,Andrés,"Pasaje Patria N21-380, Sector San Juan, Ambato, Tungurahua","+593-943395531","amilcar.andres@gmail.com"
8,Ciro,Gil,"Avenida Shyris N19-464, Sector Santa Rosa, Quito, Pichincha","+593-941262614","ciro.gil@gmail.com"
9,Joan,Vazquez,"Av. Bolívar N20-389, Sector La Floresta, Cuenca, Azuay","+593-925106163","joan.vazquez@gmail.com"
10,Eligia,Amor,"Calle Olmedo N35-223, Sector San Juan, Quito, Pichincha","+593-959801852","eligia.amor@gmail.com"
11,Chelo,Flor,"Av. 10 de Agosto N12-861, Sector Bellavista, Ambato, Tungurahua","+593-951214851","chelo.flor@gmail.com"
12,Lilia,Rivas,"Pasaje 10 de Agosto N44-649, Sector Bellavista, Esmeraldas, Esmeraldas","+593-981950521","lilia.rivas@gmail.com"
13,Isidro,Sanchez,"Av. 9 de Octubre N38-842, Sector Carcelén, Quito, Pichincha","+593-960047182","isidro.sanchez@gmail.com"
14,Dolores,Lobo,"Pasaje Amazonas N40-724, Sector Bellavista, Guayaquil, Guayas","+593-950627466","dolores.lobo@gmail.com"
15,Nydia,Agudo,"Calle 9 de Octubre N25-716, Sector El Bosque, Quito, Pichincha","+593-961065125","nydia.agudo@gmail.com"
16,Martina,Cuervo,"Calle Eloy Alfaro N4-273, Sector San Blas, Guayaquil, Guayas","+593-945173637","martina.cuervo@gmail.com"
17,José,Rocamora,"Pasaje Gran Colombia N12-180, Sector La Floresta, Quito, Pichincha","+593-994193397","jose.rocamora@gmail.com"
18,Noé,Lobo,"Av. Gran Colombia N14-137, Sector Los Chillos, Manta, Manabí","+593-954670108","noe.lobo@gmail.com"
19,Fabricio,Garrido,"Pasaje 10 de Agosto N7-279, Sector La Carolina, Quito, Pichincha","+593-940700783","fabricio.garrido@gmail.com"
20,María Carmen,Navarro,"Calle Patria N28-261, Sector La Floresta, Cuenca, Azuay","+593-966042275","maria_carmen.navarro@gmail.com"
21,Cristian,Bru,"Pasaje 9 de Octubre N9-495, Sector La Floresta, Quito, Pichincha","+593-910504013","cristian.bru@gmail.com"
22,Ricardo,Caballero,"Av. Patria N6-938, Sector Carcelén, Quito, Pichincha","+593-901873910","ricardo.caballero@gmail.com"
23,Plinio,Núñez,"Calle Bolívar N32-648, Sector Carcelén, Ibarra, Imbabura","+593-969835481","plinio.nunez@gmail.com"
24,Elisabet,Lamas,"Pasaje 9 de Octubre N32-960, Sector La Floresta, Guayaquil, Guayas","+593-972004699","elisabet.lamas@gmail.com"
25,Noemí,Aroca,"Calle Bolívar N31-680, Sector Bellavista, Quito, Pichincha","+593-999266155","noemi.aroca@gmail.com"
26,Luna,Segovia,"Calle Olmedo N41-288, Sector Centro, Guayaquil, Guayas","+593-987913935","luna.segovia@gmail.com"
27,Brunilda,Casanovas,"Avenida Bolívar N30-630, Sector Bellavista, Ambato, Tungurahua","+593-900692188","brunilda.casanovas@gmail.com"
28,Ágata,Pinedo,"Avenida Gran Colombia N43-764, Sector Los Chillos, Cuenca, Azuay","+593-985828346","agata.pinedo@gmail.com"
29,Cayetano,Marcos,"Calle Shyris N42-382, Sector San Blas, Guayaquil, Guayas","+593-949860413","cayetano.marcos@gmail.com"
30,Paula,Pardo,"Av. Simón Bolívar N27-139, Sector Los Chillos, Quito, Pichincha","+593-954845269","paula.pardo@gmail.com"
31,Crescencia,Fernandez,"Pasaje Gran Colombia N25-817, Sector Centro, Riobamba, Chimborazo","+593-971495701","crescencia.fernandez@gmail.com"
